"fk","tabela_origem","coluna_origem","tabela_destino","coluna_destino"
"FK_RateioDet_Rateio","RateioDet","Rateio_Codigo","Rateio","Rateio_Codigo"
"FK_RequisicaoEstoqProd_RequisicaoEstoq","RequisicaoEstoqProd","ReqEst_Codigo","RequisicaoEstoq","ReqEst_Codigo"
"FK_Reserva_tecnica_GrupoProd_grupo","Reserva_tecnica_GrupoProd","GrupoProduto_Codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_Reserva_tecnica_GrupoProd_Reserva","Reserva_tecnica_GrupoProd","Ret_codigo","Reserva_tecnica","Ret_codigo"
"FK_SisPermissaoEspecial_SisOpcoesEspecial","SisPermissaoEspecial","SisOpEsp_Codigo","SisOpcoesEspecial","SisOpEsp_Codigo"
"FK_SisUsuariosEmpresa_SisUsuarios","SisUsuariosEmpresa","ID","SisUsuarios","Id"
"FK_TipoPeca_GrupoProduto","TipoPeca","GrupoProduto_codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_Transferencia_filiais_Filiais","Transferencia_filiais","Fil_codigo","Filiais","Fil_codigo"
"FK_Transferencia_filiais_produtos_Transferencia_filiais","Transferencia_filiais_produtos","Tfi_codigo","Transferencia_filiais","Tfi_codigo"
"FK_TransferenciaEstoque_Motivo_devolucao","TransferenciaEstoque","Mod_codigo","Motivo_devolucao","Mod_codigo"
"FK_TransfIndicacaoDet_TransfIndicacao","TransfIndicacaoDet","TransfInd_codigo","TransfIndicacao","TransfInd_codigo"
"FK_Transportadora_municipio","Transportadora","Tra_codcidade","Municipio","mun_codigo"
"FK_Tributacao_SysPaises","Tributacao","SysPaises_codigo","SysPaises","SysPaises_codigo"
"FK_Venda_CategoriaVenda","Venda","CatVen_Codigo","CategoriaVenda","CatVen_Codigo"
"FK_Venda_Obras","Venda","Obr_codigo","Obras","Obr_Codigo"
"FK_Venda_ParamentrosSerieVenda","Venda","ParSV_serie","ParamentrosSerieVenda","ParSV_serie"
"FK_Venda_Pasta","Venda","Pasta_codigo","Pasta","Pasta_codigo"
"FK_VendaAmbiente_Ambiente","VendaAmbiente","CodAmbiente","Ambiente","CodAmbiente"
"FK_VendaDesconto_GrupoProduto","VendaDesconto","GrupoProduto_Codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_VendaDesconto_Venda","VendaDesconto","Ven_CodigoPre","Venda","Ven_CodigoPre"
"FK_VendaIndicacao_Indicacao","VendaIndicacao","Ind_Codigo","Indicacoes","Ind_codigo"
"FK_VendaIndicacaoGrupProd_GrupoProduto","VendaIndicacaoGrupProd","GrupoProduto_Codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_VendaIndicacaoGrupProd_Indicacao","VendaIndicacaoGrupProd","Ind_Codigo","Indicacoes","Ind_codigo"
"FK_VendaProduto_produtos","VendaProduto","Pro_codnosso","produtos","Pro_codnosso"
"FK_VendaProduto_Venda","VendaProduto","Ven_CodigoPre","Venda","Ven_CodigoPre"
"FK_VendaServico_Ambiente","VendaServico","CodAmbiente","Ambiente","CodAmbiente"
"FK_VendaServico_Servicos","VendaServico","Sev_cod","Servicos","sev_cod"
"FK_VendaServico_Venda","VendaServico","Ven_codigopre","Venda","Ven_CodigoPre"
